,count_visits,webinar_enrollments,free_course_enrollments,is_home,is_50back,is_signin,is_business,is_success,is_referrer_instagram,is_referrer_android,is_referrer_github,is_drive,is_jobs,is_referrer_computerworld,is_us,is_referrer_catracalivre,is_weekday,is_nanodegree_home,is_fcop_ud,is_hire_talent,is_catalog_nanodegrees,is_mobile,is_ai,is_legal,is_checkout,is_contact,is_referrer_live,is_referrer_linkedin,is_referrer_google,is_referrer_anhanguera,is_referrer_infomoney,is_referrer_cbsi,is_catalog_all,is_robotics,is_event,is_referrer_bing,is_payment,is_tech_requirements,is_android,is_ndop,is_referrer_facebook,is_fcop_st,is_referrer_tecmundo,is_fcop_cs,others,window_first_visit_to_signup,@bol.com.br,@cin.ufpe.br,@globo.com,@gmail.com,@gmail.com.br,@hotmail.com,@hotmail.com.br,@icloud.com,@id.uff.br,@live.com,@me.com,@msn.com,@outlook.com,@outlook.com.br,@udacity.com,@uol.com.br,@usp.br,@yahoo.com,@yahoo.com.br,@ymail.com
69173,44.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,4.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69948,20.0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,-7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72147,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68081,103.0,1,0,13.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.0,8.0,1.0,0.0,14.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70239,17.0,1,0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50904,537.0,0,0,50.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,18.0,327.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,20.0,0.0,24.0,0,-253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71045,12.0,0,0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53258,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54047,13.0,1,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31639,32.0,0,2,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,-1625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
